=== SVM Results for Chapter Level using BoW ===

Training Accuracy: 0.8982
Validation Accuracy: 0.5218
Test Accuracy: 0.5226

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 0      | 0.6111       | 0.7333       | 0.6667       |
| Class 1      | 0.561        | 0.697        | 0.6216       |
| Class 2      | 0.7          | 0.2258       | 0.3415       |
| Class 3      | 0.4366       | 0.4697       | 0.4526       |
| Class 4      | 0.5          | 0.2          | 0.2857       |
| Class 5      | 0.3851       | 0.6526       | 0.4844       |
| Class 6      | 0.6667       | 1.0          | 0.8          |
| Class 7      | 0.7297       | 0.75         | 0.7397       |
| Class 8      | 0.5          | 0.1429       | 0.2222       |
| Class 9      | 0.6047       | 0.8298       | 0.6996       |
| Class 10     | 0.6154       | 0.7191       | 0.6632       |
| Class 11     | 0.4476       | 0.5595       | 0.4974       |
| Class 12     | 0.3289       | 0.4032       | 0.3623       |
| Class 13     | 0.6923       | 0.2143       | 0.3273       |
| Class 14     | 0.5938       | 0.3654       | 0.4524       |
| Class 15     | 1.0          | 0.2857       | 0.4444       |
| Class 16     | 0.4444       | 0.5          | 0.4706       |
| Class 17     | 0.5          | 0.3061       | 0.3797       |
| Class 18     | 0.5814       | 0.7812       | 0.6667       |
| Class 19     | 0.3862       | 0.7089       | 0.5          |
| Class 20     | 0.0          | 0.0          | 0            |
| Class 21     | 0.5714       | 0.2105       | 0.3077       |
| Class 22     | 0.375        | 0.4          | 0.3871       |
| Class 23     | 0.5          | 0.0625       | 0.1111       |
| Class 24     | 0.5          | 0.8333       | 0.625        |
| Class 25     | 0.6897       | 0.5128       | 0.5882       |
| Class 26     | 0.7381       | 0.7209       | 0.7294       |
| Class 27     | 0.8235       | 0.4667       | 0.5957       |
| Class 28     | 0.4          | 0.4348       | 0.4167       |
| Class 29     | 0.6022       | 0.8889       | 0.7179       |
| Class 30     | 0.64         | 0.7805       | 0.7033       |
| Class 31     | 0.4697       | 0.4133       | 0.4397       |
| Class 32     | 0            | 0.0          | 0            |
| Class 33     | 0.3462       | 0.3333       | 0.3396       |
| Class 34     | 0.6562       | 0.6774       | 0.6667       |
| Class 35     | 0.3871       | 0.4286       | 0.4068       |
| Class 36     | 0.625        | 0.4545       | 0.5263       |
| Class 37     | 0.5          | 0.4667       | 0.4828       |
| Class 38     | 0.2          | 0.1667       | 0.1818       |
| Class 39     | 0.5433       | 0.75         | 0.6301       |
| Class 40     | 0.418        | 0.51         | 0.4595       |
| Class 41     | 0.6429       | 0.4865       | 0.5538       |
| Class 42     | 0.6452       | 0.6061       | 0.625        |
| Class 43     | 0.4808       | 0.7463       | 0.5848       |
| Class 44     | 0.4564       | 0.6846       | 0.5477       |
| Class 45     | 0.4773       | 0.6          | 0.5316       |
| Class 46     | 0.5455       | 0.2222       | 0.3158       |
| Class 47     | 0.3          | 0.4286       | 0.3529       |
| Class 48     | 0.3525       | 0.6364       | 0.4537       |
| Class 49     | 0            | 0.0          | 0            |
| Class 50     | 0.5088       | 0.4603       | 0.4833       |
| Class 51     | 0.6923       | 0.6429       | 0.6667       |
| Class 52     | 0.65         | 0.4643       | 0.5417       |
| Class 53     | 0.6          | 0.1765       | 0.2727       |
| Class 54     | 0.434        | 0.434        | 0.434        |
| Class 55     | 0.3625       | 0.4394       | 0.3973       |
| Class 56     | 1.0          | 0.2          | 0.3333       |
| Class 57     | 0.4286       | 0.2609       | 0.3243       |
| Class 58     | 0.6923       | 0.5          | 0.5806       |
| Class 59     | 0.7297       | 0.5745       | 0.6429       |
