=== SVM Results for Chapter Level using TF-IDF ===

Training Accuracy: 0.9097
Validation Accuracy: 0.5947
Test Accuracy: 0.6072

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 0      | 0.6316       | 0.8          | 0.7059       |
| Class 1      | 0.697        | 0.697        | 0.697        |
| Class 2      | 0.75         | 0.4839       | 0.5882       |
| Class 3      | 0.5211       | 0.5606       | 0.5401       |
| Class 4      | 0.4737       | 0.45         | 0.4615       |
| Class 5      | 0.5289       | 0.6737       | 0.5926       |
| Class 6      | 0.6667       | 1.0          | 0.8          |
| Class 7      | 0.7105       | 0.75         | 0.7297       |
| Class 8      | 0.5          | 0.7143       | 0.5882       |
| Class 9      | 0.75         | 0.8617       | 0.802        |
| Class 10     | 0.7812       | 0.8427       | 0.8108       |
| Class 11     | 0.5098       | 0.619        | 0.5591       |
| Class 12     | 0.4583       | 0.5323       | 0.4925       |
| Class 13     | 0.6          | 0.3571       | 0.4478       |
| Class 14     | 0.5897       | 0.4423       | 0.5055       |
| Class 15     | 0.5          | 0.4286       | 0.4615       |
| Class 16     | 0.4167       | 0.625        | 0.5          |
| Class 17     | 0.6452       | 0.4082       | 0.5          |
| Class 18     | 0.619        | 0.8125       | 0.7027       |
| Class 19     | 0.5254       | 0.7848       | 0.6294       |
| Class 20     | 1.0          | 0.25         | 0.4          |
| Class 21     | 0.3333       | 0.1053       | 0.16         |
| Class 22     | 0.6667       | 0.4          | 0.5          |
| Class 23     | 0.8333       | 0.3125       | 0.4545       |
| Class 24     | 0.6667       | 1.0          | 0.8          |
| Class 25     | 0.9091       | 0.5128       | 0.6557       |
| Class 26     | 0.7805       | 0.7442       | 0.7619       |
| Class 27     | 0.7059       | 0.4          | 0.5106       |
| Class 28     | 0.5532       | 0.5652       | 0.5591       |
| Class 29     | 0.7188       | 0.8929       | 0.7965       |
| Class 30     | 0.7805       | 0.7805       | 0.7805       |
| Class 31     | 0.4545       | 0.4667       | 0.4605       |
| Class 32     | 0            | 0.0          | 0            |
| Class 33     | 0.3421       | 0.4815       | 0.4          |
| Class 34     | 0.7241       | 0.6774       | 0.7          |
| Class 35     | 0.5862       | 0.6071       | 0.5965       |
| Class 36     | 0.5556       | 0.4545       | 0.5          |
| Class 37     | 0.6071       | 0.5667       | 0.5862       |
| Class 38     | 0.1          | 0.1667       | 0.125        |
| Class 39     | 0.5645       | 0.7609       | 0.6481       |
| Class 40     | 0.5354       | 0.53         | 0.5327       |
| Class 41     | 0.7241       | 0.5676       | 0.6364       |
| Class 42     | 0.7407       | 0.6061       | 0.6667       |
| Class 43     | 0.5729       | 0.8209       | 0.6748       |
| Class 44     | 0.5731       | 0.7538       | 0.6512       |
| Class 45     | 0.575        | 0.6571       | 0.6133       |
| Class 46     | 0.5714       | 0.2963       | 0.3902       |
| Class 47     | 0.4198       | 0.6071       | 0.4964       |
| Class 48     | 0.5146       | 0.6883       | 0.5889       |
| Class 49     | 0            | 0.0          | 0            |
| Class 50     | 0.5769       | 0.4762       | 0.5217       |
| Class 51     | 0.8462       | 0.7857       | 0.8148       |
| Class 52     | 0.7895       | 0.5357       | 0.6383       |
| Class 53     | 0.5          | 0.4118       | 0.4516       |
| Class 54     | 0.4655       | 0.5094       | 0.4865       |
| Class 55     | 0.4253       | 0.5606       | 0.4837       |
| Class 56     | 1.0          | 0.4          | 0.5714       |
| Class 57     | 0.6429       | 0.3913       | 0.4865       |
| Class 58     | 0.5556       | 0.5556       | 0.5556       |
| Class 59     | 0.7955       | 0.7447       | 0.7692       |
| Class 60     | 0.7556       | 0.8095       | 0.7816       |
| Class 61     | 0.6271       | 0.6167       | 0.6218       |
| Class 62     | 0.3077       | 0.6154       | 0.4103       |
| Class 63     | 0.84         | 0.913        | 0.875        |
| Class 64     | 0.6481       | 0.6604       | 0.6542       |
| Class 65     | 0.4286       | 0.4468       | 0.4375       |
| Class 66     | 0.939        | 0.9277       | 0.9333       |
| Class 67     | 0.4831       | 0.6264       | 0.5455       |
| Class 68     | 0.75         | 0.8571       | 0.8          |
| Class 69     | 0.7407       | 0.8081       | 0.7729       |
| Class 70     | 0.75         | 0.375        | 0.5          |
| Class 71     | 0.7073       | 0.7838       | 0.7436       |
