=== SVM Results for Volume Level using BoW ===

Training Accuracy: 0.8630
Validation Accuracy: 0.6950
Test Accuracy: 0.6941

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 0      | 0.7901       | 0.8054       | 0.7977       |
| Class 1      | 0.7209       | 0.5536       | 0.6263       |
| Class 2      | 0.8763       | 0.7556       | 0.8115       |
| Class 3      | 0.6639       | 0.6908       | 0.6771       |
| Class 4      | 0.6495       | 0.5676       | 0.6058       |
| Class 5      | 0.6095       | 0.8691       | 0.7165       |
| Class 6      | 0.6851       | 0.8275       | 0.7496       |
| Class 7      | 0.6932       | 0.7922       | 0.7394       |
| Class 8      | 0.8053       | 0.7391       | 0.7708       |
| Class 9      | 0.7001       | 0.8383       | 0.763        |
| Class 10     | 0.8103       | 0.7344       | 0.7705       |
| Class 11     | 0.6186       | 0.6186       | 0.6186       |
| Class 12     | 0.7385       | 0.4364       | 0.5486       |
| Class 13     | 0.5753       | 0.3889       | 0.4641       |
| Class 14     | 0.6353       | 0.4355       | 0.5167       |
| Class 15     | 0.7606       | 0.6968       | 0.7273       |
| Class 16     | 0.6823       | 0.7158       | 0.6987       |
| Class 17     | 0.877        | 0.8723       | 0.8747       |
| Class 18     | 0.6597       | 0.5938       | 0.625        |
| Class 19     | 0.8733       | 0.7706       | 0.8188       |
| Class 20     | 0.6636       | 0.6008       | 0.6307       |
| Class 21     | 0.6599       | 0.8386       | 0.7386       |
| Class 22     | 0.8515       | 0.6615       | 0.7446       |
| Class 23     | 0.5867       | 0.3729       | 0.456        |
| Class 24     | 0.8107       | 0.8528       | 0.8312       |
| Class 25     | 0.5957       | 0.359        | 0.448        |
| Class 26     | 0.8485       | 0.6512       | 0.7368       |
| Class 27     | 0.7617       | 0.7778       | 0.7696       |
| Class 28     | 0.6558       | 0.7738       | 0.7099       |
| Class 29     | 0.5429       | 0.6041       | 0.5719       |
| Class 30     | 0.5243       | 0.4843       | 0.5035       |
| Class 31     | 0.5522       | 0.3458       | 0.4253       |
| Class 32     | 0.4955       | 0.534        | 0.514        |
| Class 33     | 0.57         | 0.4286       | 0.4893       |
| Class 34     | 0.7761       | 0.619        | 0.6887       |
| Class 35     | 0.6644       | 0.6471       | 0.6556       |
| Class 36     | 0.8202       | 0.6697       | 0.7374       |
| Class 37     | 0.75         | 0.587        | 0.6585       |
| Class 38     | 0.6527       | 0.76         | 0.7023       |
| Class 39     | 0.5987       | 0.5353       | 0.5652       |
| Class 40     | 0.6941       | 0.7128       | 0.7033       |
| Class 41     | 0.5393       | 0.3934       | 0.455        |
| Class 42     | 0.6338       | 0.4813       | 0.5471       |
| Class 43     | 0.7414       | 0.6056       | 0.6667       |
| Class 44     | 0.6667       | 0.0833       | 0.1481       |
| Class 45     | 0.8507       | 0.6867       | 0.76         |
| Class 46     | 0.7917       | 0.5588       | 0.6552       |
| Micro-Average | 0.6941       | 0.6941       | 0.6941       |
| Macro-Average | 0.6962       | 0.624        | 0.6475       |
+--------------------------------------------------+
