=== SVM Results for Volume Level using TF-IDF ===

Training Accuracy: 0.8308
Validation Accuracy: 0.7135
Test Accuracy: 0.7237

Detailed Test Metrics:
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 0      | 0.8104       | 0.8482       | 0.8289       |
| Class 1      | 0.7188       | 0.6161       | 0.6635       |
| Class 2      | 0.8769       | 0.76         | 0.8143       |
| Class 3      | 0.6961       | 0.7283       | 0.7119       |
| Class 4      | 0.6087       | 0.6306       | 0.6195       |
| Class 5      | 0.7274       | 0.8429       | 0.7809       |
| Class 6      | 0.7256       | 0.838        | 0.7778       |
| Class 7      | 0.7235       | 0.8268       | 0.7717       |
| Class 8      | 0.7981       | 0.8019       | 0.8          |
| Class 9      | 0.7813       | 0.8126       | 0.7966       |
| Class 10     | 0.8352       | 0.7656       | 0.7989       |
| Class 11     | 0.6402       | 0.6372       | 0.6387       |
| Class 12     | 0.7073       | 0.5273       | 0.6042       |
| Class 13     | 0.5862       | 0.4722       | 0.5231       |
| Class 14     | 0.6154       | 0.4516       | 0.5209       |
| Class 15     | 0.7832       | 0.7226       | 0.7517       |
| Class 16     | 0.7208       | 0.776        | 0.7474       |
| Class 17     | 0.8482       | 0.8804       | 0.864        |
| Class 18     | 0.7419       | 0.575        | 0.6479       |
| Class 19     | 0.882        | 0.8353       | 0.858        |
| Class 20     | 0.6875       | 0.6337       | 0.6595       |
| Class 21     | 0.757        | 0.853        | 0.8022       |
| Class 22     | 0.8558       | 0.6846       | 0.7607       |
| Class 23     | 0.549        | 0.4746       | 0.5091       |
| Class 24     | 0.8244       | 0.8636       | 0.8436       |
| Class 25     | 0.5645       | 0.4487       | 0.5          |
| Class 26     | 0.8889       | 0.6822       | 0.7719       |
| Class 27     | 0.7397       | 0.8571       | 0.7941       |
| Class 28     | 0.7035       | 0.7686       | 0.7346       |
| Class 29     | 0.5693       | 0.6587       | 0.6108       |
| Class 30     | 0.5179       | 0.5202       | 0.519        |
| Class 31     | 0.5532       | 0.486        | 0.5174       |
| Class 32     | 0.4397       | 0.4951       | 0.4658       |
| Class 33     | 0.5982       | 0.5038       | 0.5469       |
| Class 34     | 0.7089       | 0.6667       | 0.6871       |
| Class 35     | 0.6923       | 0.6471       | 0.6689       |
| Class 36     | 0.8041       | 0.7156       | 0.7573       |
| Class 37     | 0.75         | 0.6848       | 0.7159       |
| Class 38     | 0.6935       | 0.7644       | 0.7273       |
| Class 39     | 0.6203       | 0.5765       | 0.5976       |
| Class 40     | 0.7308       | 0.7703       | 0.75         |
| Class 41     | 0.5865       | 0.5          | 0.5398       |
| Class 42     | 0.6145       | 0.5882       | 0.6011       |
| Class 43     | 0.7705       | 0.662        | 0.7121       |
| Class 44     | 0.5333       | 0.1667       | 0.254        |
| Class 45     | 0.8333       | 0.7229       | 0.7742       |
| Class 46     | 0.75         | 0.6176       | 0.6774       |
| Micro-Average | 0.7237       | 0.7237       | 0.7237       |
| Macro-Average | 0.7056       | 0.6673       | 0.6812       |
+--------------------------------------------------+
