==== Summary Metrics for Multi-Class Logistic Regression on TRAINING data ====
Accuracy = 0.6257
Micro-Precision = 0.6257, Micro-Recall = 0.6257, Micro-F1 = 0.6257
Macro-Precision = 0.7166, Macro-Recall = 0.5135, Macro-F1 = 0.5494

Model Evaluation Metrics (TRAINING data):
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 0      | 0.7317       | 0.7545       | 0.7430       |
| Class 1      | 0.7889       | 0.4701       | 0.5891       |
| Class 2      | 0.7600       | 0.6211       | 0.6836       |
| Class 3      | 0.6063       | 0.6705       | 0.6368       |
| Class 4      | 0.7165       | 0.2749       | 0.3974       |
| Class 5      | 0.5111       | 0.8078       | 0.6260       |
| Class 6      | 0.6199       | 0.8183       | 0.7054       |
| Class 7      | 0.4526       | 0.7934       | 0.5764       |
| Class 8      | 0.7658       | 0.7203       | 0.7423       |
| Class 9      | 0.5943       | 0.8649       | 0.7045       |
| Class 10     | 0.9024       | 0.5139       | 0.6549       |
| Class 11     | 0.5593       | 0.5419       | 0.5505       |
| Class 12     | 0.9294       | 0.2380       | 0.3789       |
| Class 13     | 0.8070       | 0.1415       | 0.2408       |
| Class 14     | 0.5000       | 0.3360       | 0.4019       |
| Class 15     | 0.7834       | 0.6703       | 0.7224       |
| Class 16     | 0.7225       | 0.6189       | 0.6667       |
| Class 17     | 0.7797       | 0.8496       | 0.8132       |
| Class 18     | 0.7585       | 0.3271       | 0.4571       |
| Class 19     | 0.8845       | 0.6634       | 0.7582       |
| Class 20     | 0.6337       | 0.5705       | 0.6004       |
| Class 21     | 0.5228       | 0.8236       | 0.6396       |
| Class 22     | 0.8911       | 0.4627       | 0.6091       |
| Class 23     | 0.6277       | 0.3333       | 0.4354       |
| Class 24     | 0.7503       | 0.8493       | 0.7968       |
| Class 25     | 0.8696       | 0.0847       | 0.1544       |
| Class 26     | 0.8969       | 0.5141       | 0.6536       |
| Class 27     | 0.8224       | 0.6614       | 0.7331       |
| Class 28     | 0.6018       | 0.7414       | 0.6644       |
| Class 29     | 0.4279       | 0.7241       | 0.5379       |
| Class 30     | 0.4337       | 0.4006       | 0.4165       |
| Class 31     | 0.7976       | 0.2100       | 0.3325       |
| Class 32     | 0.6826       | 0.3677       | 0.4780       |
| Class 33     | 0.5833       | 0.3518       | 0.4389       |
| Class 34     | 0.8205       | 0.2550       | 0.3891       |
| Class 35     | 0.7529       | 0.4267       | 0.5447       |
| Class 36     | 0.8500       | 0.4708       | 0.6059       |
| Class 37     | 0.8800       | 0.4015       | 0.5514       |
| Class 38     | 0.5459       | 0.8168       | 0.6544       |
| Class 39     | 0.6468       | 0.4882       | 0.5564       |
| Class 40     | 0.6067       | 0.7297       | 0.6626       |
| Class 41     | 0.4561       | 0.4251       | 0.4401       |
| Class 42     | 0.7719       | 0.4403       | 0.5607       |
| Class 43     | 0.9388       | 0.2170       | 0.3525       |
| Class 44     | 1.0000       | 0.0070       | 0.0140       |
| Class 45     | 0.9252       | 0.3976       | 0.5562       |
| Class 46     | 0.7714       | 0.2656       | 0.3951       |
| Micro-Average | 0.6257       | 0.6257       | 0.6257       |
| Macro-Average | 0.7166       | 0.5135       | 0.5494       |
+--------------------------------------------------+
