==== Summary Metrics for XGBoost (Scratch) on TRAINING data ====
Accuracy = 0.5180
Micro-Precision = 0.518, Micro-Recall = 0.518, Micro-F1 = 0.518
Macro-Precision = 0.6171, Macro-Recall = 0.4548, Macro-F1 = 0.5004

Model Evaluation Metrics (TRAINING data):
+--------------------------------------------------+
| Category     | Precision    | Recall       | F1-Score     |
| Class 0      | 0.6016       | 0.6649       | 0.6317       |
| Class 1      | 0.733        | 0.4192       | 0.5333       |
| Class 2      | 0.8737       | 0.4933       | 0.6306       |
| Class 3      | 0.6142       | 0.4586       | 0.5251       |
| Class 4      | 0.4049       | 0.3474       | 0.374        |
| Class 5      | 0.1911       | 0.8346       | 0.3109       |
| Class 6      | 0.5662       | 0.7315       | 0.6384       |
| Class 7      | 0.6343       | 0.4812       | 0.5472       |
| Class 8      | 0.795        | 0.6174       | 0.695        |
| Class 9      | 0.8399       | 0.5685       | 0.6781       |
| Class 10     | 0.6868       | 0.5521       | 0.6121       |
| Class 11     | 0.3922       | 0.4037       | 0.3979       |
| Class 12     | 0.7655       | 0.3343       | 0.4654       |
| Class 13     | 0.5476       | 0.3538       | 0.4299       |
| Class 14     | 0.5322       | 0.2446       | 0.3352       |
| Class 15     | 0.5867       | 0.569        | 0.5777       |
| Class 16     | 0.6023       | 0.4701       | 0.528        |
| Class 17     | 0.7445       | 0.6757       | 0.7085       |
| Class 18     | 0.6752       | 0.3292       | 0.4426       |
| Class 19     | 0.6438       | 0.6654       | 0.6544       |
| Class 20     | 0.6031       | 0.4282       | 0.5008       |
| Class 21     | 0.6545       | 0.6012       | 0.6267       |
| Class 22     | 0.8143       | 0.4961       | 0.6166       |
| Class 23     | 0.4439       | 0.2571       | 0.3256       |
| Class 24     | 0.702        | 0.7203       | 0.711        |
| Class 25     | 0.3128       | 0.2585       | 0.2831       |
| Class 26     | 0.876        | 0.563        | 0.6854       |
| Class 27     | 0.7323       | 0.6032       | 0.6615       |
| Class 28     | 0.6619       | 0.6721       | 0.6669       |
| Class 29     | 0.5408       | 0.4002       | 0.46         |
| Class 30     | 0.4963       | 0.2018       | 0.2869       |
| Class 31     | 0.4503       | 0.2132       | 0.2894       |
| Class 32     | 0.2991       | 0.3194       | 0.3089       |
| Class 33     | 0.3866       | 0.2312       | 0.2893       |
| Class 34     | 0.6833       | 0.3267       | 0.442        |
| Class 35     | 0.5623       | 0.4245       | 0.4838       |
| Class 36     | 0.688        | 0.5292       | 0.5983       |
| Class 37     | 0.6867       | 0.3759       | 0.4858       |
| Class 38     | 0.6385       | 0.514        | 0.5696       |
| Class 39     | 0.5984       | 0.298        | 0.3979       |
| Class 40     | 0.549        | 0.5484       | 0.5487       |
| Class 41     | 0.4169       | 0.376        | 0.3954       |
| Class 42     | 0.7062       | 0.2656       | 0.386        |
| Class 43     | 0.6305       | 0.6038       | 0.6169       |
| Class 44     | 1.0          | 0.0282       | 0.0548       |
| Class 45     | 0.7755       | 0.4578       | 0.5758       |
| Class 46     | 0.665        | 0.4492       | 0.5362       |
| Micro-Average | 0.518        | 0.518        | 0.518        |
| Macro-Average | 0.6171       | 0.4548       | 0.5004       |
+--------------------------------------------------+
